City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,unity,52.4501,-109.1682,-12.64,95,5,2.67,CA,1675926378
252,xichang,27.8964,102.2634,18.32,30,14,1.7,CN,1675926378
253,batsfjord,70.6345,29.7185,0.96,86,75,2.57,NO,1675926195
254,ponta do sol,32.6667,-17.1,14.84,62,74,2.59,PT,1675926379
255,itarema,-2.9248,-39.9167,24.43,83,41,3.68,BR,1675926325
256,gat,31.61,34.7642,9.88,100,88,2.23,IL,1675926232
257,ilulissat,69.2167,-51.1,-20.99,65,40,0.0,GL,1675926381
258,mastic beach,40.7668,-72.8521,7.44,77,0,0.89,US,1675926382
259,saint-augustin,51.226,-58.6502,-16.27,75,7,8.74,CA,1675926382
260,hovd,48.0056,91.6419,-12.28,71,94,1.9,MN,1675926141
261,magan,39.9683,-3.931,6.4,76,30,2.44,ES,1675926383
262,sao caetano de odivelas,-0.75,-48.02,23.2,96,100,1.67,BR,1675926384
263,juigalpa,12.1063,-85.3645,22.62,89,53,5.87,NI,1675926385
264,qandala,11.472,49.8728,26.12,66,6,2.69,SO,1675926385
265,peque,7.0212,-75.9093,18.01,96,52,0.7,CO,1675926386
266,tessalit,20.1986,1.0114,17.9,22,37,4.49,ML,1675926387
267,challapata,-18.9,-66.7667,8.24,84,100,0.27,BO,1675926387
268,tehachapi,35.1322,-118.449,9.29,42,5,1.34,US,1675926388
269,hatillo,18.4863,-66.8254,24.25,92,33,1.34,PR,1675926389
270,maningrida,-12.0667,134.2667,28.94,79,100,5.62,AU,1675926389
271,mount darwin,-16.7725,31.5838,25.0,71,100,0.57,ZW,1675926390
272,chicama,-7.8447,-79.1469,19.3,81,83,1.58,PE,1675926391
273,gimli,50.6336,-96.9907,1.01,75,92,5.66,CA,1675926391
274,belmonte,-15.8631,-38.8828,24.03,80,7,1.92,BR,1675926392
275,port lincoln,-34.7333,135.8667,26.85,45,0,3.79,AU,1675926392
276,san andres,12.5847,-81.7006,27.01,74,40,5.14,CO,1675926393
277,kjopsvik,68.097,16.3742,1.93,89,100,6.73,NO,1675926393
278,iquique,-20.2208,-70.1431,21.02,82,14,1.27,CL,1675926394
279,astana,51.1801,71.446,-19.03,78,40,3.0,KZ,1675926394
280,ngunguru,-35.6167,174.5,19.21,62,45,4.45,NZ,1675926395
281,mezhdurechensk,53.6942,88.0603,-7.49,84,100,0.89,RU,1675926396
282,havelock,34.8791,-76.9013,14.4,100,0,0.0,US,1675926396
283,verkhnevilyuysk,63.4453,120.3167,-35.01,96,82,1.54,RU,1675926397
284,bethel,41.3712,-73.414,3.97,74,0,0.0,US,1675926397
285,nome,64.5011,-165.4064,-17.96,85,100,0.0,US,1675926321
286,roald,62.5833,6.1333,5.97,81,75,14.4,NO,1675926115
287,dekar,-21.5333,21.9333,22.1,74,100,2.26,BW,1675926398
288,port moresby,-9.4431,147.1797,29.68,66,40,7.72,PG,1675925998
289,kachiry,53.0675,76.1036,-18.36,95,88,1.51,KZ,1675926399
290,riviere-au-renard,48.9957,-64.3971,-8.84,82,100,9.48,CA,1675926400
291,crowley,30.2141,-92.3746,16.04,89,21,4.17,US,1675926400
292,juye,35.3947,116.0883,5.16,82,100,2.19,CN,1675926401
293,lisieux,49.1667,0.1667,0.73,81,100,1.37,FR,1675926401
294,sangar,63.9242,127.4739,-38.59,97,27,1.31,RU,1675926402
295,beloha,-25.1667,45.05,28.28,58,100,5.0,MG,1675926403
296,srednekolymsk,67.45,153.6833,-34.78,98,98,2.84,RU,1675926403
297,touros,-5.1989,-35.4608,25.44,83,28,4.32,BR,1675926403
298,comodoro rivadavia,-45.8667,-67.5,22.59,41,100,12.96,AR,1675926404
299,brae,60.3964,-1.353,4.42,63,100,15.3,GB,1675926404
300,georgetown,5.4112,100.3354,31.96,70,20,3.13,MY,1675926372
301,kokopo,-4.352,152.2633,28.65,67,90,4.12,PG,1675926405
302,miguel hidalgo,19.4225,-99.2028,15.24,55,75,0.45,MX,1675926406
303,port blair,11.6667,92.75,29.02,61,75,5.14,IN,1675926406
304,ambilobe,-13.2,49.05,29.35,66,80,1.98,MG,1675926407
305,macuspana,17.7667,-92.6,25.54,81,79,3.96,MX,1675926407
306,chenzhou,25.8,113.0333,10.02,96,100,1.58,CN,1675926408
307,auki,-8.7676,160.7034,27.81,79,100,2.3,SB,1675926408
308,salekhard,66.53,66.6019,-15.96,91,12,2.2,RU,1675926409
309,khatanga,71.9667,102.5,-41.46,99,57,1.75,RU,1675926409
310,garh maharaja,30.8339,71.9053,23.76,19,100,3.17,PK,1675926410
311,makakilo city,21.3469,-158.0858,23.18,62,94,11.8,US,1675926121
312,axim,4.8699,-2.2405,25.57,86,46,0.93,GH,1675926410
313,itaueira,-7.6033,-43.0256,20.45,44,8,1.7,BR,1675926411
314,narsaq,60.9167,-46.05,-8.88,86,100,4.06,GL,1675926411
